number,value,datetime_start,datetime_complete,duration,params_eff_l2_leaf_reg,params_eff_learning_rate,params_eff_max_depth,params_eff_n_estimators,params_eff_random_strength,params_out_l2_leaf_reg,params_out_learning_rate,params_out_max_depth,params_out_n_estimators,params_prop_l2_leaf_reg,params_prop_learning_rate,params_prop_max_depth,params_prop_n_estimators,state
86,0.043125702755571996,2026-07-20 16:54:55.467101,2026-07-20 16:55:16.242289,0 days 00:00:20.775188,15.0,0.02,5,150,2.0,7.0,0.07,5,300,30.0,0.03,5,150,COMPLETE
87,0.032588604962802095,2026-07-20 16:55:16.373160,2026-07-20 16:55:35.339693,0 days 00:00:18.966533,10.0,0.01,5,150,1.0,6.0,0.04,5,300,30.0,0.03,5,150,COMPLETE
88,0.043313052862021875,2026-07-20 16:55:35.449855,2026-07-20 16:55:52.155775,0 days 00:00:16.705920,15.0,0.03,5,150,1.5,7.0,0.08,5,250,30.0,0.02,5,150,COMPLETE
89,0.03409042175170318,2026-07-20 16:55:52.259494,2026-07-20 16:56:11.798059,0 days 00:00:19.538565,15.0,0.02,3,150,2.0,6.0,0.09,5,300,30.0,0.03,5,150,COMPLETE
90,0.05153128925668124,2026-07-20 16:56:11.914425,2026-07-20 16:56:16.514235,0 days 00:00:04.599810,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
91,0.05153128925668124,2026-07-20 16:56:16.626744,2026-07-20 16:56:21.155266,0 days 00:00:04.528522,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
92,0.05153128925668124,2026-07-20 16:56:21.281913,2026-07-20 16:56:26.063744,0 days 00:00:04.781831,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
93,0.05153128925668124,2026-07-20 16:56:26.168972,2026-07-20 16:56:30.983010,0 days 00:00:04.814038,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
94,0.05153128925668124,2026-07-20 16:56:31.105751,2026-07-20 16:56:35.913120,0 days 00:00:04.807369,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
95,0.05153128925668124,2026-07-20 16:56:36.016196,2026-07-20 16:56:40.803405,0 days 00:00:04.787209,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
96,0.04273241207480155,2026-07-20 16:56:40.899739,2026-07-20 16:56:45.653374,0 days 00:00:04.753635,15.0,0.02,5,150,1.5,7.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
97,0.05153128925668124,2026-07-20 16:56:45.760574,2026-07-20 16:56:50.536199,0 days 00:00:04.775625,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
98,0.05153128925668124,2026-07-20 16:56:50.645478,2026-07-20 16:56:55.591726,0 days 00:00:04.946248,15.0,0.02,5,150,1.5,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
99,0.038105355534514204,2026-07-20 16:56:55.696179,2026-07-20 16:57:00.207975,0 days 00:00:04.511796,15.0,0.02,5,150,1.0,8.0,0.08,5,100,30.0,0.03,5,150,COMPLETE
